Symbol,Company Name,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
HBIO,"Harvard Bioscience, Inc.",Rating: Strong Sell1.18,Rating: Not Covered,Rating: Strong Buy5.00,95.94M,-,D,D-,B+,D,F
DBI,Designer Brands Inc.,Rating: Strong Sell1.18,Rating: Sell2.00,Rating: Hold3.00,279.72M,3.97,A-,D-,D+,F,F
SENS,"Senseonics Holdings, Inc.",Rating: Strong Sell1.18,Rating: Not Covered,Rating: Hold3.25,183.36M,-,D+,D+,F,D,D+
HRTX,"Heron Therapeutics, Inc.",Rating: Strong Sell1.17,Rating: Sell2.00,Rating: Strong Buy4.66,176.43M,-,C+,C+,B+,D-,C-
VERO,Venus Concept Inc.,Rating: Strong Sell1.17,Rating: Not Covered,Rating: Hold3.00,2.49M,-,A,D+,B-,D-,D+
TTEC,"TTEC Holdings, Inc.",Rating: Strong Sell1.17,Rating: Buy4.00,Rating: Buy4.00,245.33M,-,C-,F,D,D-,D-
GOTU,Gaotu Techedu Inc.,Rating: Strong Sell1.17,Rating: Buy4.00,Rating: Buy4.00,742.57M,-,B-,A-,D,F,D+
CMBM,Cambium Networks Corporation,Rating: Strong Sell1.17,Rating: Not Covered,Rating: Buy4.00,34.46M,-,A,D-,D,F,C-
MOND,"Mondee Holdings, Inc.",Rating: Strong Sell1.17,Rating: Hold3.00,Rating: Buy4.00,73.12M,-,D-,A-,C-,F,B-
CURLF,"Curaleaf Holdings, Inc.",Rating: Strong Sell1.17,Rating: Strong Buy4.50,Rating: Strong Buy4.50,1.51B,-,D+,A,B+,D-,D
TNXP,Tonix Pharmaceuticals Holding Corp.,Rating: Strong Sell1.16,Rating: Not Covered,Rating: Strong Buy5.00,35.19M,-,B-,A,C-,F,B
SAVEQ,"Spirit Airlines, Inc.",Rating: Strong Sell1.16,Rating: Sell1.66,Rating: Sell2.00,58.60M,-,B+,D-,D-,F,B+
CRVO,CervoMed Inc.,Rating: Strong Sell1.16,Rating: Not Covered,Rating: Strong Buy4.83,75.56M,-,A-,A+,D,D-,D
FRGE,"Forge Global Holdings, Inc.",Rating: Strong Sell1.16,Rating: Not Covered,Rating: Buy3.83,197.80M,-,B-,B-,F,F,D+
NBTX,Nanobiotix S.A.,Rating: Strong Sell1.16,Rating: Not Covered,Rating: Strong Buy5.00,155.26M,-,D+,B+,C+,D,D
WOLF,"Wolfspeed, Inc.",Rating: Strong Sell1.16,Rating: Buy3.75,Rating: Hold3.05,1.14B,-,B,D+,F,F,C-
RSLS,ReShape Lifesciences Inc.,Rating: Strong Sell1.16,Rating: Not Covered,Rating: Hold3.00,4.10M,-,A+,D-,D,D,Rating: Not Covered
VRPX,"Virpax Pharmaceuticals, Inc.",Rating: Strong Sell1.15,Rating: Not Covered,Rating: Hold3.00,2.26M,-,Rating: Not Covered,Rating: Not Covered,F,D-,A+
EDIT,"Editas Medicine, Inc.",Rating: Strong Sell1.15,Rating: Buy4.00,Rating: Buy3.89,181.61M,-,A,C-,D-,D-,C+
REKR,"Rekor Systems, Inc.",Rating: Strong Sell1.15,Rating: Hold3.00,Rating: Strong Buy5.00,90.17M,-,B+,B-,D,F,D-
GORV,"Lazydays Holdings, Inc.",Rating: Strong Sell1.15,Rating: Not Covered,Rating: Strong Buy5.00,59.94M,-,A+,B+,D-,F,Rating: Not Covered
AVNW,"Aviat Networks, Inc.",Rating: Strong Sell1.15,Rating: Hold3.00,Rating: Strong Buy4.66,198.86M,-,A-,D+,D+,F,D
CATX,"Perspective Therapeutics, Inc.",Rating: Strong Sell1.15,Rating: Strong Buy5.00,Rating: Strong Buy4.70,278.46M,-,C,F,A+,D-,D+
GWH,"ESS Tech, Inc.",Rating: Strong Sell1.15,Rating: Buy4.00,Rating: Buy3.50,72.37M,-,B,B,D-,F,C
EVH,"Evolent Health, Inc.",Rating: Strong Sell1.15,Rating: Buy4.00,Rating: Strong Buy4.56,1.49B,-,D-,D+,B+,D-,D-
SNES,"SenesTech, Inc.",Rating: Strong Sell1.14,Rating: Not Covered,Rating: Buy4.00,2.34M,-,A+,B+,F,D-,C
